square_feet,num_rooms,age,distance_to_city(km),price
2171.809145,4,7,14.26306375,350024.9862
1118.479922,2,87,20.25662659,28310.56767
2162.041985,4,80,9.583796483,257252.3938
1807.45886,3,75,10.07864393,166711.6714
1661.539,2,30,4.612458885,217880.2275
2305.838144,3,11,13.13983459,332322.5301
2515.499761,7,56,29.61808259,300595.9168
2465.64006,3,65,9.274261477,304281.6974
1580.391238,4,11,16.41166989,212217.1275
1845.393812,7,26,22.55388033,276585.5189
2165.631716,4,45,1.391420856,368580.2113
2487.772564,3,6,27.11274723,291593.7643
1760.412881,4,60,12.20995536,224250.8958
1907.170512,4,57,26.20436361,173556.5514
1446.832513,4,57,2.129482108,219390.3298
1401.896688,5,12,5.224243004,290048.1056
2406.262911,7,52,10.35335418,412020.7071
2678.120014,7,99,11.01839142,428531.6434
1963.994939,7,64,25.58603247,254880.3645
2501.766449,3,48,1.324832346,370672.5192
2180.818013,6,34,19.59224152,297068.4681
1677.440123,3,93,4.808060649,213634.6204
2180.697803,7,94,24.87325387,232438.6634
2769.018283,2,16,23.57862471,337654.3527
1982.08698,4,71,15.49770979,213626.2182
2782.321828,4,66,7.16792954,402491.7942
690.127448,6,9,19.40036634,96322.26121
2410.951252,2,33,5.531491212,356582.9389
2043.523534,5,85,6.510689985,264301.6471
1850.496325,3,3,19.17400716,244163.5595
2045.880388,5,95,29.74562494,159197.1349
1006.215543,2,28,26.84076428,30764.63875
1890.164056,6,45,18.20011337,259607.9649
2178.556286,2,74,16.61756629,201310.4124
2738.947022,6,45,29.95316152,339171.8698
1740.864891,5,76,16.87451728,180714.3797
1595.753199,5,58,13.18337914,195285.6429
1749.121478,2,60,27.37711054,98311.67905
2457.701059,2,67,7.79134458,294749.0331
2164.375555,4,65,3.828253719,300407.1354
1735.119898,6,33,19.388611,268809.2236
2256.633717,4,85,3.779639379,307907.3922
2048.538775,3,4,11.82130757,299641.0343
2484.322495,3,8,13.28374418,331679.0869
1648.973453,2,19,16.87860394,225385.7153
1836.168927,5,20,29.75812683,255176.0528
1803.945923,3,16,7.408469977,261941.5671
1268.242526,3,11,11.89693498,204273.4316
2148.060139,4,91,4.834963608,285197.9351
2130.527636,4,81,18.62079225,257550.576
2002.556728,3,66,22.10252229,190595.5595
1882.706433,2,4,14.98022787,245500.069
1292.314629,4,59,8.12910678,124216.2697
1789.677339,3,52,19.00575981,163850.6823
1828.642742,5,51,16.63557398,240528.9548
1598.861365,4,77,5.964385979,216980.6
1919.357144,3,47,12.76477511,212783.0218
2202.025428,6,89,13.62071566,278624.8054
2943.092951,4,18,29.49591486,367053.3086
2087.288906,6,16,25.62928913,261282.6757
2128.775195,4,53,22.29675286,237507.1095
1962.777042,4,67,26.77453374,198302.9582
1040.614392,7,34,22.32904777,158156.3126
1986.743062,7,87,27.1986538,221727.9252
2030.115105,6,40,2.582040332,331204.0351
3231.621056,2,12,14.22592007,425175.3026
1903.819518,3,32,22.66005172,241356.7057
2150.773671,2,14,17.9155781,247054.9218
1982.644115,2,62,6.07981876,270287.0477
1415.660981,7,14,10.87427051,271760.9768
2571.411407,3,30,10.21545688,359078.0167
2375.966516,7,27,8.579060482,436811.4119
2395.515974,7,9,10.95093105,437586.6011
1545.306273,7,56,15.93074537,243772.4631
2701.397155,5,70,25.79120172,289885.7596
1299.074469,2,32,22.51894721,67541.03045
2293.428547,2,6,25.22224142,234185.6427
3095.227813,2,4,26.62450859,356515.2661
1504.731837,5,89,13.06836323,166782.3318
1716.851135,4,79,11.03476224,224099.3667
2049.825683,6,56,2.671078069,359865.2912
1748.262173,6,71,27.98425703,181009.9828
1224.668284,5,85,2.90886752,186987.9253
2034.281487,2,97,22.49292995,113368.8883
1468.848143,6,39,11.96514083,241846.9078
2236.796215,5,27,28.51464246,268561.8622
1540.287883,7,35,13.16845861,285399.3538
2774.967203,3,55,24.68164219,276465.108
1608.373354,6,46,9.196990133,228462.8351
1838.969242,3,70,9.6735728,221002.7986
2406.758609,2,39,18.27006289,277740.4769
1384.567842,6,58,29.94149638,116389.9983
2113.729967,5,42,16.00960012,295571.9125
2653.571377,4,91,28.15295046,263846.4019
1196.258383,6,65,23.80124502,106256.4208
2092.316929,6,8,24.08006511,299874.397
2129.941397,6,5,13.64283968,367857.74
2390.911436,6,64,12.20972526,329191.7955
1381.524645,5,2,6.565732435,269362.09
1339.771693,5,73,28.95429674,81919.40396
2260.970783,4,36,28.82241476,271774.3879
2148.492337,5,86,22.66496429,216986.7159
2125.246425,5,32,9.591321046,342830.5833
2173.224105,2,8,8.11020667,335804.9345
1659.987639,2,52,29.66969703,71899.96623
2116.126849,3,76,2.929741638,314285.1268
2146.536237,4,91,25.46336447,218941.0178
1642.824291,2,50,11.30828201,179304.3078
2932.887256,4,70,13.14722187,373408.4577
2236.91646,4,25,25.12735181,297443.0985
1404.348251,6,15,3.627487464,313427.4178
2328.276804,7,39,11.27092068,395526.3014
1512.659165,7,89,28.60870404,163392.2309
2393.542302,7,50,21.27291147,369086.6317
2579.29779,4,38,22.89323578,307703.3504
1589.658841,6,54,22.96765373,194585.1546
2481.688065,3,95,2.756532412,335006.3974
2206.390463,3,35,6.893020205,322068.0691
2411.03008,7,64,15.24663443,333603.928
2948.396491,3,84,11.67635674,341112.4999
1877.305942,6,76,12.9164565,233848.3531
1623.131918,7,89,23.66197398,186018.4038
1555.242785,6,44,1.425697817,278470.8824
1592.094858,3,8,20.15426586,193891.2607
1961.449145,7,36,1.003196722,429839.4647
2170.575987,6,86,2.828697242,373998.3156
2138.3454,5,0,12.84029748,319801.9896
2413.591625,5,65,25.38750707,244527.1789
2006.500946,6,62,5.204877201,317420.4274
2726.767039,6,42,17.08402086,378214.4777
1867.671583,2,27,20.67665158,156691.1921
3360.084583,2,99,7.656453641,406513.6125
2312.833674,4,30,15.8575774,331739.1751
1571.421222,7,68,27.43081121,189639.808
1464.553751,4,88,15.85462724,122920.4031
2241.236208,4,7,5.562368792,375935.5132
1888.268607,3,33,19.2066146,221320.763
2357.000247,5,48,18.17380522,312511.2997
2236.618812,3,95,1.781688034,307796.5172
1963.585544,7,57,3.627237767,368008.94
1576.603141,6,74,5.546659299,247231.0862
1242.576388,2,46,4.952383249,118491.8157
1776.742524,7,24,8.524507346,369869.474
2428.199397,6,2,14.16905437,397662.9919
2107.046872,7,44,11.77977264,360309.3405
1377.130611,6,51,26.82884685,103093.524
2086.590463,2,95,18.75117287,164006.3734
2192.65869,6,98,26.40818615,220863.112
1558.071282,4,95,16.28414042,140262.0316
2076.862553,7,33,3.60624365,460774.0304
2029.104359,2,68,14.43533602,191566.6063
1428.514851,6,91,24.83894386,135495.7929
2178.89368,4,91,6.629009248,293153.6548
2280.392263,4,7,3.645214084,383259.9892
2541.525622,5,26,10.55360741,418574.1942
2526.901026,4,79,12.27803709,315358.5497
1311.165316,3,62,9.881472616,162772.2987
1531.08748,2,81,4.921982783,203272.4606
2257.517634,2,24,8.274355932,316271.8432
2256.892975,2,57,20.78618973,211980.4931
2257.523843,6,47,12.19192697,371700.0653
3926.365745,7,0,19.34393389,660168.2556
2285.445255,6,7,16.55280962,355387.5894
2567.78282,3,20,16.92253526,331495.6049
2477.000882,7,97,8.20793718,387018.9118
2325.695626,4,87,16.12474795,258589.9639
1842.365378,6,89,1.684246702,279846.9329
2379.48461,7,77,13.52056853,363133.7455
1613.587393,4,28,17.60606187,219437.5939
1881.590697,7,29,6.277873019,355161.5243
1757.318226,4,2,8.440196681,300623.7258
2040.93707,7,6,7.366399575,391777.1012
3157.329283,6,99,3.046180703,457463.7405
1066.367404,6,10,11.08786231,204574.5069
2343.130095,3,31,29.39000723,234998.1251
1193.642064,5,58,11.26253179,135231.8663
1764.034067,2,11,14.35556203,213347.0413
2544.475298,6,78,19.93953028,325730.246
2032.14001,6,37,19.80643478,312682.0257
1461.127611,4,23,28.54695442,127182.5225
1642.348145,5,64,25.86936007,128087.3744
2339.798874,6,17,24.02456993,329653.7813
1634.816684,7,45,28.59718955,185905.1688
2108.229295,5,55,7.692196179,333816.9844
2022.78592,2,62,18.89457164,180186.9232
1674.199826,7,6,26.72870623,197275.1103
3071.972045,4,65,19.10000659,454128.2638
2316.959511,3,39,29.34519376,224665.2237
987.4287067,7,53,3.910228703,217346.9927
2093.227157,2,30,13.74058458,224452.9513
1669.106768,7,96,29.34352433,118357.0082
2426.216667,5,51,12.00747283,351056.1568
1603.739631,5,93,22.44713488,142048.6969
1942.631779,2,30,1.881684131,306028.629
2252.493639,5,33,21.15027632,303871.4174
2432.877597,7,6,28.10417524,334691.9193
1399.851796,3,88,12.09848227,71396.02594
1832.749382,7,15,1.6176953,389819.4838
1762.527344,3,21,1.809384327,283652.6866
1673.335384,5,99,26.86867587,92405.49375
2882.72712,7,52,21.95296711,427205.397
2202.490855,5,90,4.093905143,288392.5676
1369.558023,3,16,2.583118034,248857.49
2458.930974,5,3,24.33993554,315937.2088
3061.078099,6,60,24.48595835,399413.6967
2516.23263,4,98,4.495133354,355638.7142
1240.315017,7,85,9.744091713,185568.1277
1757.882964,6,51,23.62075587,248377.0619
2633.455575,5,34,16.23695006,418191.3124
1646.165267,5,43,28.74096096,164963.4853
2221.909714,4,14,14.95081672,335360.0809
2387.317027,5,60,20.63178019,316152.8304
1536.534764,4,43,15.78371761,199450.154
1970.237322,7,20,28.34599937,282550.4658
500,3,76,12.56111367,-14286.95641
1487.806179,4,46,7.6640972,185103.3174
1873.715924,4,74,10.47238195,206893.5706
1376.108409,6,48,25.73048092,197411.2039
2816.205652,5,52,15.44021834,399678.9352
1284.929311,7,26,11.2733168,245459.143
1779.977757,3,30,16.78354063,238345.5055
2065.370289,2,43,4.863661511,267498.0763
2720.636645,4,31,1.155419834,462980.5629
1282.068924,2,29,9.136955827,159169.4002
2581.581876,5,17,18.54516587,386712.0021
2005.116531,4,62,21.63874232,203845.5706
1509.245674,2,15,24.97171802,107234.3749
2231.051737,6,34,27.87324322,264834.123
2099.529848,2,61,12.95125806,213495.5028
1699.891561,6,8,22.47498719,254549.392
2034.901042,3,61,3.165514976,257284.8779
1807.343202,5,38,2.668369964,294811.0581
2056.758673,7,50,4.619141768,378128.578
2331.065337,2,9,14.00850384,308063.7805
2793.008408,4,51,7.127161716,416120.0833
1381.092251,5,11,9.320823316,248658.8503
3066.516687,2,71,19.78852503,380413.8821
1023.9561,4,61,11.39714319,118142.4678
1924.107452,4,2,17.16377517,273215.649
2294.158603,7,82,12.95970895,339347.8815
2140.495934,7,10,5.90010841,441972.9489
1688.65024,4,7,3.146579717,309572.0696
1895.938875,7,89,7.850713364,309831.8316
1753.499533,4,22,2.673313615,315579.2811
1705.317622,2,9,18.93974684,186290.5975
2424.801049,3,17,24.07581044,288558.621
2178.507743,7,75,10.85248228,369492.1923
1653.545202,6,38,12.22622061,273762.2432
2449.799938,6,25,24.66954082,319401.8661
2153.64976,6,10,7.455774459,389378.3832
2406.431059,3,9,4.455647691,347401.4755
2314.814421,4,2,15.5324254,350308.0103
1585.502495,4,61,19.73951492,184369.0465
1719.90948,5,70,18.38997833,169208.415
2373.646803,6,60,21.70231831,310530.0835
2305.185133,6,3,2.645784283,469257.4846
1989.549203,4,60,13.41784677,273165.9193
2058.663692,6,7,7.918545194,407802.8512
2638.832448,4,12,23.01451653,311387.2079
1704.214306,4,11,26.30918404,203184.8447
2273.548691,7,34,9.158736483,371127.3175
1898.903674,4,53,3.761324293,273062.2869
1891.159398,2,50,8.349410898,248349.3005
2549.388426,2,42,4.016246183,363487.9754
2412.708174,2,99,10.35024282,265681.7336
2406.754818,2,65,16.60775877,234392.0967
2652.739404,3,14,29.23674768,327199.2344
2010.501921,5,48,12.58173738,304433.2799
2340.976486,5,33,7.381157792,399026.6463
1844.866622,4,38,5.837250471,267940.4054
2162.083176,6,25,6.018153218,412649.7352
1934.928473,2,68,6.585332815,222989.3753
2048.497982,5,47,23.10574365,232521.4537
2297.578513,5,88,2.769803632,355297.0296
1590.889658,2,50,29.9246785,90674.29175
3046.193638,3,97,16.15790534,322203.142
1496.991309,3,3,16.78388493,238755.2919
1392.905694,5,97,11.36935248,191376.1032
2579.055437,3,26,21.01740542,327871.9912
2395.831347,7,41,14.67223389,393621.6011
2312.059909,2,55,10.54277726,285690.8245
2314.172755,5,92,8.689013708,280680.9121
1993.876614,2,68,27.843885,134118.2148
1551.372814,3,17,9.438695937,230503.2741
2037.902279,2,60,13.65540452,205888.0855
1661.419144,3,3,11.15990066,244226.3849
2487.559867,3,0,3.499185995,368012.2021
1926.471309,2,49,6.39209744,226064.7506
1587.251402,3,83,6.495557284,201046.4496
1839.307079,7,69,21.11583592,275940.8203
2206.465727,4,19,12.79097689,309147.3609
1718.137724,2,19,23.67705933,163992.335
1588.889802,4,45,21.55957681,187503.2329
2121.843606,2,26,6.569443225,289025.0242
2122.483286,3,25,17.32459068,280274.503
1746.528412,3,31,22.54435654,177581.6853
1764.480847,5,9,19.35824478,282688.9429
2116.024969,7,81,18.40047873,258752.3368
1275.957829,5,11,22.44871573,146058.5631
1296.268113,4,73,2.646641438,193797.7931
1640.777889,3,87,22.21123647,109984.623
1893.276424,5,23,8.907002631,315329.9725
2155.453783,3,50,17.58429538,256913.2737
2737.678108,2,37,8.026844846,354904.5007
2428.829812,5,45,25.32570959,265307.2115
1920.030735,4,88,14.93622127,195321.3417
1990.491896,5,7,19.64529515,285581.7375
1498.735318,3,54,24.02837926,104993.4577
1990.743432,6,77,26.9641424,232171.717
1855.670681,6,30,22.22980082,272609.9429
2161.35928,7,87,5.31428871,361297.2459
1586.384528,3,15,25.78143872,158490.4775
2259.673257,2,19,18.93875956,256573.4217
2766.369457,5,37,18.67404299,367506.3004
1945.619926,6,14,27.71887623,235305.4593
2200.855861,2,77,8.216115114,238157.6666
2345.071996,3,75,7.948040936,296162.1549
1799.389764,2,33,15.88261309,174395.7152
2112.046241,3,71,22.77502893,195322.1866
2006.2962,7,18,13.96998054,349205.7648
2048.838049,5,68,19.38285031,234465.4876
1613.495108,2,90,14.123217,144638.8392
2012.255087,5,62,18.70122823,197119.7495
2248.999146,2,76,24.84560678,169447.2471
2725.571804,3,31,6.233824187,359617.9007
2479.635413,3,94,21.16597749,236886.678
3076.591229,2,36,23.83534644,361555.5838
1616.326219,7,65,13.96623082,220595.6546
2436.160318,3,6,10.37377373,343094.0274
2091.671003,4,47,1.392785394,305820.7268
3094.901467,4,10,24.11604565,414927.8316
1595.850857,5,74,10.51022111,206010.7575
1580.139079,4,86,11.36197461,168637.8942
1700.303677,4,30,10.74417873,243965.2252
938.0521378,7,43,15.46344059,140918.6364
1737.122489,7,44,21.37248762,272343.4157
1620.433669,6,71,23.3840308,180591.71
2075.196893,6,55,12.38455089,290663.5088
2170.877988,7,31,20.22995902,319470.9668
2938.08542,6,20,21.89984326,413772.2212
2475.211919,7,30,9.610602619,461347.3328
1711.548172,6,0,3.802022617,371946.4982
1550.792664,3,76,26.9453059,79362.58102
2245.959586,7,10,20.63636318,397856.5457
1339.883396,5,92,19.79520186,139047.3721
2915.729383,5,67,2.708172941,452204.3249
2589.72006,7,35,24.71831867,361655.1093
1765.412174,4,78,17.41557053,172486.6943
1143.432735,5,58,25.5886481,66516.73789
2676.936187,4,66,29.26227433,303908.5454
1942.730077,5,55,28.75590931,172501.715
2618.908156,2,50,25.82659105,271069.3545
1202.786171,2,28,1.317473841,199641.419
1700.312489,7,84,26.68608904,171519.1085
2002.62185,5,1,3.176807101,419710.144
2023.490297,3,5,25.68462514,198918.4924
1774.967264,4,30,9.12504799,269026.0237
2311.424966,5,53,18.69198182,290473.0325
1466.189785,7,87,2.103978703,281620.4373
1928.810257,4,39,23.36426919,220571.51
2060.147816,6,16,4.239477545,357278.8811
2257.219417,7,4,12.90995698,434822.7165
2355.807439,5,1,24.70593407,338550.68
1437.678954,3,57,21.1651209,92116.40138
1232.942915,6,11,1.175238209,281071.6641
2638.838411,7,4,12.6879377,442388.3748
2166.157006,5,59,2.215897992,351427.3004
1625.756732,2,40,20.53149596,144208.3893
2775.575988,5,19,29.09950626,345145.9237
2057.837317,2,71,20.00257661,168653.4245
2589.648592,2,0,7.506800502,358658.4789
2033.759241,7,55,11.30175793,340299.9257
3030.373962,5,69,29.32286611,300452.6719
2877.670421,5,55,7.497519949,439784.5538
1875.517926,2,53,17.28434312,145922.8568
2485.785475,4,10,12.61316045,380812.1169
2322.687975,6,2,23.28114364,349875.0979
2684.315779,3,94,26.15428889,245942.8217
1517.53827,5,27,10.88428096,263455.05
2343.02573,6,4,20.15149455,387648.1552
2529.212243,6,89,16.92238323,293569.0684
1120.630257,4,15,9.074890212,186555.9664
1408.370744,6,30,8.886283282,297043.0128
980.3839111,5,27,16.62031778,139338.0091
1865.296583,7,6,5.466083332,369837.1079
2358.771128,7,8,24.513487,361654.2117
2751.178526,6,38,3.001140337,471997.7584
2037.04739,5,98,3.7426601,265314.6449
2814.307773,5,42,10.92456296,442905.4349
1309.949271,2,26,4.424660988,200056.1369
1148.30878,4,75,14.79530062,76579.63252
1972.226151,3,88,12.59060082,203015.4268
2192.032724,2,92,21.93248408,155813.2153
1983.652626,3,94,28.6371205,88330.4411
966.27895,5,97,22.85319896,5379.45856
1955.43998,7,32,6.204011224,344976.7444
1347.76525,2,90,28.13011728,10345.606
2334.836274,6,55,12.37186954,344207.0334
2183.299123,6,1,14.75149147,353553.6519
1530.060107,3,13,13.22571088,202542.801
1743.066541,5,12,9.135863675,318731.3623
1470.393239,7,23,26.95628435,209911.4861
1968.660451,3,68,10.63492711,254161.8083
2477.57116,7,33,17.77929762,385172.9286
1507.136977,4,86,7.960973947,212316.8206
2252.023258,7,18,24.12388587,346145.657
1734.871191,6,29,23.45176113,224193.5245
1603.563584,2,48,9.593052015,186428.3137
1946.48482,2,42,20.76506812,161185.8633
1482.378839,2,15,21.41233246,134171.4608
1723.175347,7,51,17.31283107,269511.6314
1401.061054,6,97,18.41735309,153305.7828
2982.362566,7,48,17.65918451,442855.218
2017.631776,5,10,3.374067716,430452.2364
1650.137246,6,77,20.437695,184887.9571
2106.989955,6,46,14.62347529,283363.236
1943.835975,7,78,13.71526114,309264.4344
1889.5152,7,34,25.93997734,271869.9394
2307.08335,2,70,1.67357469,312328.4055
2378.753855,6,28,8.288132621,398073.9973
1734.749426,2,53,4.520701495,232475.8368
1712.09088,5,85,2.024890294,294069.5054
1862.474151,4,22,8.994632933,296430.6168
849.0394176,2,23,29.66581191,-33373.81865
1242.404469,7,98,8.836646023,115110.3586
2683.437134,3,9,20.24746877,359969.4174
2822.483857,4,60,4.430667811,401500.9686
1875.48198,5,7,18.45358127,280060.1363
2288.278482,7,47,29.54996301,272310.4047
2155.625077,4,75,9.46328818,263409.141
3539.440404,7,92,25.59419287,435639.6136
2559.787456,2,28,29.92957003,232822.761
1936.041204,7,86,18.06806857,269590.5575
1522.22978,5,25,9.972631912,264944.1833
1196.77684,3,36,20.53240654,76694.71684
2101.731818,2,95,25.50059798,111322.0883
1621.824627,2,51,5.969157046,210010.347
1288.873145,5,37,14.12295715,206766.2333
1676.713558,5,5,10.25644359,315967.6429
1459.225998,4,7,9.217410912,225738.6684
2843.570818,3,16,25.96381656,360502.7685
2440.819878,7,75,13.2279662,329457.7581
1996.013679,4,61,10.83321391,260178.294
2739.972069,7,85,18.5018057,383227.3108
2038.684154,7,77,7.362645809,290413.2938
1569.357899,7,33,7.666911226,345926.2672
2761.562039,4,18,16.0883732,422326.3435
2269.455022,2,69,12.86890913,260013.7871
1481.376923,5,81,9.554489134,174133.5286
1904.830661,2,99,2.564582836,212539.6125
1562.190873,3,36,16.10245292,193624.7698
